,Unnamed: 1,CO00COKY,CO00DRBE,CO00FERA,CO00KUNI,CO00URMA,CO01TUNG,CO03CHBA,CO03CHBU,CO03COPM,CO04BAFI,CO04KIVA,CO04LIFI,CO04LIRA,CO04MGNG,CO04PFCH,CO04PFRE,CO04ZIMG,CO05ASGU,CO05BAFI,CO05KUBE,CO06DATZ,CO06LIFI,CO06MOPE,CO06MOTO,CO06QUNG,CO07CAFR,CO08ABSU,CO08GOBE,CO08HEVE,CO08KIPR,CO09NAKY,CO09NUTB,CO10HEIG,CO11NUPM,CO12GOVA,CO13CABL,CO13CAHN,CO13COTB,CO13DESC01A,CO13HENG,CO14CABT,CO14CATI,CO14OSPA,CO14WUCL,CO14ZIHO,CO14ZIMG,CO15ABSP,CO17LITW01A,CO17MUMA,CO17RAPA,CO17WUBO1A,CO18DATO01A,CO18HECO01A,CO18HECO01B,CO18RELC01A,CO92SHPU,CO93COTW,CO94DUUR,CO94HEAQ,CO94LISE,CO95TUNG,CO96QUVA,CO96SWBB,CO96SWFB,CO97CHSY,CO98BOFP,CO98CHPI,CO98EVXM,CO98QUNC,CO98SWPR,CO99DRGB,CO99GUMI,CO99KUHO,CO99LICL,CO99SWFB
Unnamed: 1,1.0,0.22624947315690103,0.07714992958927233,0.005359480189750601,0.015600398007834044,0.0004561152200958938,0.05791155705603915,-0.0027414285009057645,0.0023618668423535318,0.05441119657842412,-0.01916989715036539,0.030263785087676427,-0.5343812335241251,0.07452212200169334,0.16424956931460682,0.028826058840838796,0.02103597618548438,0.038896993209535345,-0.011160787300726109,-0.09325596031591422,-0.06652615524645208,0.08157672820400874,-0.5441989305583588,0.003683119055159091,0.12655620296364292,0.09940366241473894,0.09913828084465093,0.061924239651620146,0.2270216589769326,-0.022940142171914903,0.22601152686666906,0.1034058983935458,-0.006936848919035141,0.010774300453615446,0.05305519091348697,0.3147431398071775,-0.01847230527494985,-0.010032510963629655,0.010209807178877576,0.22336839017711413,-0.030463535613848798,0.0222741955269578,0.007774904723771089,-0.03705262316251723,0.025106546583079717,0.21300412863716284,0.19607389103556203,0.03502367542643532,-0.037712271661337914,0.007724482739589466,0.006148102821613211,-0.0031448043543698717,-0.007594717861233686,0.018393812220138053,-0.018764110000249693,0.026089761133650986,0.023651037163438908,0.06644136482502255,0.20180367155378698,0.20314803171704846,-0.04621242552021849,0.025050680959326357,0.20611004749616377,0.21391484559189253,0.20660219188399997,0.13248360542464613,-0.5119730834074261,-0.02330550622618065,0.009010199016510526,0.030495640351722027,0.12922985497133266,0.13653119624182572,0.04437531328159591,-0.023664784369665803,0.057272069643045376,0.18007703536995343
CO00COKY,0.22624947315690103,1.0,0.38210936580503263,0.24036054212737612,0.2722650674595684,0.31005108280330573,0.3636102345655973,0.4200500553967395,0.36108250134704684,0.00098497245611608,-0.02258696545848141,0.028717960511705512,-0.08505196500042594,0.2369818608192199,0.7332493049630643,-0.10302583253733977,0.32475885755548184,-0.27202743816285163,0.026798359019944235,-0.3657778430375585,0.016686542495988468,0.023741373801034183,-0.08663344160473718,-0.017607808740853943,0.6169448500475718,0.03836055359240973,0.4241784590810862,0.03351398584405381,0.9848785371722341,-0.030258153073667866,0.9588446680084791,0.012909911949430043,0.03661669591812514,-0.01101217069561107,0.0011135953349199537,0.11614537299467292,-0.027670095678127393,0.056295618727991555,0.004316821340099648,0.9428908494939527,0.023135625726634995,0.07803244599340148,-0.010338104418265982,0.33323157912255746,0.08138519256020257,0.951268326041917,0.8511559810397297,-0.01623677042522203,0.08463783890087073,-0.16694188923498945,-0.04097013129292863,0.11992690215955529,0.04690695554804998,0.05835783579153799,-0.03757359071925547,-0.026008337450477818,0.23193078805202,0.3408918694323688,0.9297092101070541,0.9872225336655897,0.18005526625358617,0.2716658263702464,0.9380212173975977,0.9644345893814775,0.9522836388010935,0.09507295298407817,-0.08250571869523733,0.22627830125081044,0.013659991435686835,0.4340304135899961,0.5928898997689785,-0.07835533047561782,0.34015475771470827,0.3281066531535541,0.022001665895631482,0.7720259394682112
CO00DRBE,0.07714992958927233,0.38210936580503263,1.0,0.09397525371314727,0.05386509998263331,0.1140038271018818,0.08815005343105305,0.16866586484200458,0.1411584107259417,-0.05685210398286891,0.0017705820294731745,-0.07936004342328896,-0.032668620861485816,0.08802904389974593,0.06363818585064006,-0.039572417428384694,0.11775444752250475,-0.10448625427076896,0.0006343933082736525,-0.10600999858590351,0.02484275879466677,-0.06287667139629458,-0.033276069020823563,-0.10470050901781953,-0.02003497864633166,-0.004748807074836214,0.14718890849967595,0.01403141800621198,0.3783936449460407,-0.11663967660606495,0.36118338380481946,-0.05759956891050064,0.05580029673950719,-0.0655564534948329,-0.05668611897151835,0.005668788086259342,-0.05976991294602435,-0.08387651395352898,-0.053872230540084616,0.35323085969242907,-0.022798107376282798,-0.046329467436062526,-0.09933105337176121,0.07475526761752652,0.078564335484034,0.3524612243862064,0.17727566781081688,-0.06860958983759514,-0.058717673613098674,-0.06412269587528822,-0.07345282602562446,0.00551520538155913,-0.014162822512401798,-0.026527031285790436,-0.033906857496281986,-0.06960972009053001,-0.036849233590277135,0.04684516313257488,0.4067850596734031,0.3103181928868873,0.11530136769673097,-0.046526617741579346,0.4095652291490656,0.3828280427769938,0.4240105815775568,0.03425014731897308,-0.031690602832581495,-0.03126295574127355,-0.08302878618254123,0.1635706214658601,-0.01920627708156958,-0.03009643085579146,0.04984737524133336,0.12598838711690438,-0.051986286321260594,0.134610788448394
CO00FERA,0.005359480189750601,0.24036054212737612,0.09397525371314727,1.0,0.5453044605372229,-0.20086834250074406,0.2894573455526968,0.2986424035903137,0.2671320915885953,0.0667025773088373,-0.0031924686764466586,0.030879549598693146,-0.2735242713617087,0.04618374588791823,0.17741434844522402,0.2752305739653346,-0.20321807926559546,0.6803709639469501,0.17643978458551815,-0.08642247143303103,0.16625585109579127,0.053596316765112846,-0.2786102471632923,-0.02059876452795228,0.15211497397792778,0.10662256033244304,0.09962029941171105,0.1356979087066428,0.23392322346469116,-0.03939149033992907,0.2156475918266558,-0.004241448429724519,0.08635765101252982,0.04397164559904527,0.06793883431369593,-0.07706275988680714,0.026446537149835803,-0.06385449190143819,0.033484933348153244,0.2112963841516413,0.05126761972906375,-0.2908678142604022,-0.03917890418066629,0.18814075485060225,0.09131844304030942,0.20444052717477393,0.20745199633369368,-0.04030617638968741,0.001906806007147325,0.3154681638323045,-0.09416395440043412,0.3787377275662226,0.014104303941897212,0.04533441568892574,-0.14852281629720315,-0.02068970779414168,0.17622359747155553,0.26456472894196464,0.2175979342722709,0.2121077177929574,0.30402838213081235,0.21956743003571447,0.2261444631590278,0.23331542463964705,0.22982085548252507,0.21728340895085393,-0.2653356285087126,0.09976910867094645,0.05141967098497169,0.3302990594391936,0.14558083357153517,0.26461116384293093,0.27453978027870407,0.6489664225071385,0.08798539831367856,0.1886933813191674
CO00KUNI,0.015600398007834044,0.2722650674595684,0.05386509998263331,0.5453044605372229,1.0,0.10202329962872632,0.7218171003383389,0.5676311225252423,0.6311345729005788,0.3636434071314661,-0.00425083630553967,0.1988172028673551,0.23561535398901107,0.06109222674418281,0.2887190707248161,0.21448738255755698,0.1011585863012106,0.3059097673539705,0.15771973206468115,-0.06843970932405467,0.09760250864719557,0.3244471352479689,0.2226829175452363,0.15779725218679552,0.2516847631646014,0.33675253696502455,0.1132073466848468,0.26508871507499415,0.2648814321701235,0.1713250839520397,0.2467259421853462,0.32519859238824456,-0.00012871506129275172,0.29328009431961216,0.3643337791028574,0.16278686066351375,0.09643716376008021,0.14142373612115514,0.1326801518457195,0.25463148947929864,0.13784018851103727,-0.09228817053692759,0.19097796526704292,0.6302819315464006,0.2666556123960439,0.23340140169398302,0.3394142440634013,0.0749827666066075,0.2730261178964598,0.25665722574847666,0.02973596896861502,0.34540742478979053,0.11207673946879135,0.0869906151865355,-0.0910628315862805,0.3096994189834497,0.43556719035612074,0.4924838383022798,0.21945215518700759,0.3366507969106106,0.3488228496383357,0.5494465763721189,0.2441195645329432,0.25790947176019013,0.24154213625514545,0.19125930585158116,0.23630665042854385,0.19157878196469608,0.20872961061382633,0.5834942010534317,0.24238094228482004,0.1856829023768355,0.6841996853388492,0.8176036597751329,0.35667927066898764,0.30496975157465067
CO00URMA,0.0004561152200958938,0.31005108280330573,0.1140038271018818,-0.20086834250074406,0.10202329962872632,1.0,0.39036969486816736,0.7140908199804188,0.6646990510581784,0.0712930413209599,-0.008246725978628022,0.05454476622366853,0.3035162118195454,0.0591329741461479,0.2289806878616334,-0.18481843485781524,0.9849582102080587,-0.4970805057832808,0.1690073130162902,-0.11595715992821566,0.1472980707318255,0.06593649288915107,0.2890727399863966,-0.009672833719044599,0.197694464622647,0.10746805074246821,0.13326782319015998,0.13750307939857598,0.298875987072789,-0.036683981637053144,0.27902281233911563,0.01070657527263825,0.08717752233501834,0.04812793996836472,0.0723938184582431,-0.03849751476376081,-0.13443095842689243,0.08190069211797787,0.041537203013640674,0.273438303373751,0.04922913353334274,0.14815400546459648,-0.03657570951352737,0.600328936047556,0.17423776099326507,0.26472629186642366,0.2716043496518797,-0.0322770322029083,0.1817881599179831,-0.32829663548983573,-0.08835673204557058,-0.06798091737775248,-0.017402454545788405,0.17848616960771926,-0.14726485864307529,-0.010470905594132862,0.23964967365975726,0.2972852858909766,0.27618390713314683,0.27569863090375224,0.1800089243426823,0.29622151431332266,0.2862911805121595,0.2970557129097164,0.2924905547653827,0.23797714707216885,0.3011523358687667,0.17891563600313767,0.07308735897882038,0.44143829300886606,0.19399001773136973,-0.14499161825320456,0.37583955228560184,0.12094171424268443,0.11267769784289258,0.24513960705896987
CO01TUNG,0.05791155705603915,0.3636102345655973,0.08815005343105305,0.2894573455526968,0.7218171003383389,0.39036969486816736,1.0,0.6291140842201434,0.6753563874199193,0.2982883337278977,0.004990679774441081,0.170524557377956,0.35124771678052846,0.4328497125240881,0.377915741393383,0.06388087131913217,0.3867446868871214,0.04038745356795307,0.12147919279410263,-0.10069142616837835,0.09077224439060351,0.2635477969623168,0.3384119629207661,0.12386931096223665,0.32813447468747897,0.2468015473500861,0.15531632585666377,0.19327590440532647,0.35802146093297027,0.14008415337794397,0.339237075579865,0.27369511153347803,0.012797952671827269,0.23918399493861964,0.2988137201104963,0.125673981502133,0.10600790490593598,0.12986177340942234,0.11575565686002255,0.3479885203206914,0.12009148718773828,0.013426095139990143,0.1514366944484444,0.6828582032669446,0.2123326656149466,0.32221937940347595,0.438413221045296,0.052284785201817834,0.2872958141433144,0.0664344812768724,0.01629666680142739,0.22781172051688645,0.07517044610618542,0.09101584096379416,-0.0814394415108928,0.2639947654306048,0.6040077392538062,0.48549853753443195,0.30354585388016697,0.4447653445053152,0.29815852745632343,0.76194432538445,0.33252085382710656,0.35156619985833976,0.3333180542728563,0.14568919609012645,0.3589332579067051,0.30446297435712,0.16555037213744064,0.8433355451317459,0.31523167191928836,0.2657588841361932,0.9322927193792389,0.5980444915242575,0.2974197876190807,0.3955481115735965
CO03CHBA,-0.0027414285009057645,0.4200500553967395,0.16866586484200458,0.2986424035903137,0.5676311225252423,0.7140908199804188,0.6291140842201434,1.0,0.9113595887155469,0.03018253403810311,0.019411012741268052,0.05094841588515346,0.3618386230216936,0.0789991681298463,0.2836448491052492,-0.0811121504016233,0.7023575431487425,-0.07720633398946865,0.19886324064590827,-0.14603535904242423,0.3079257758602537,0.0295225397746309,0.3442693594518577,-0.07596092361385957,0.27406620422076,0.11205948428829691,0.18989433895987862,0.15568092670358968,0.40776531320174014,-0.11406292103944718,0.3795775819624978,-0.0390913877262363,0.19356184012340033,0.002603768068166473,0.031582955063400975,-0.030111989181874067,-0.12473690507584878,0.0004158631084618108,0.06441419870575676,0.37204718371683876,0.07438430476983279,-0.07952319326146484,-0.10971580777618535,0.737223271614531,0.2784059139400317,0.3662103694711247,0.34691895378119164,-0.1368272171330382,0.13530179984228904,-0.14850436121490015,-0.20962942345310032,0.13674386582097997,-0.09313522840265492,0.1708462489027668,-0.31644222896148055,-0.07184406220501063,0.3990898482884057,0.41277513635813545,0.40339251097814044,0.3758745882430855,0.45141097483616954,0.4793526009663154,0.41857556165613535,0.4304267107515319,0.42497994658418,0.2871992874081669,0.38042956194028527,0.21094287632169942,0.029039307518395965,0.751266213736883,0.2467343319026034,0.05022812324851012,0.564408540213193,0.7173388605698856,0.09433634028190084,0.29772214926054763
CO03CHBU,0.0023618668423535318,0.36108250134704684,0.1411584107259417,0.2671320915885953,0.6311345729005788,0.6646990510581784,0.6753563874199193,0.9113595887155469,1.0,0.1737634250454978,0.02503225978418141,0.11861671595287919,0.3548203083405099,0.07750002066052708,0.2858189554401846,-0.04458665573281228,0.6556986433840241,-0.06974786829344742,0.2007324318103524,-0.10970482946807662,0.2776038429667276,0.15371572445566953,0.33793560771401526,0.011414154112804347,0.2731350585252212,0.30495987225416726,0.15954073020946977,0.3636750580523133,0.35159190413412494,-0.004738342910551639,0.3250538055212988,0.11078566240702409,0.14228192991542754,0.12586248861429322,0.1749814670501656,0.05820935733202515,-0.07349419049306626,0.0722846365057015,0.10334901316333682,0.3326887156063094,0.12336209656837915,-0.03464454928333921,0.006275484711927401,0.748859090364642,0.3477391881144463,0.3131649286693401,0.34478477223765536,-0.0726121853606535,0.1887849608226733,-0.09495111221241188,-0.14031646235038628,0.1706132626762039,-0.024346659137311554,0.16499854287375781,-0.27171132443715185,0.08586922779240447,0.42325721116607773,0.4873739091821855,0.33735171445796075,0.36629006262784525,0.4258104507900904,0.5211328099859598,0.35597565207627274,0.3677985425098709,0.3559740153662125,0.265564733587332,0.382368685354335,0.22514070907772166,0.10140079052452007,0.6949600169539245,0.24512743392611022,0.048153171945870384,0.6094446622592605,0.6659807092678487,0.2164548443648264,0.29799104775842755
CO03COPM,0.05441119657842412,0.00098497245611608,-0.05685210398286891,0.0667025773088373,0.3636434071314661,0.0712930413209599,0.2982883337278977,0.03018253403810311,0.1737634250454978,1.0,-0.0244940437144242,0.44362620181826656,0.03320972174958574,0.09401821563549051,0.12647153136937214,0.2370247092372314,0.08201020739023923,0.04719505005033459,0.36190636801194015,0.029071011214414643,0.02960833202645783,0.8523721387298467,0.01948092810910756,0.4916056485388438,0.1027075978329092,0.6789419184377187,0.0007004580266251161,0.5348505291444301,0.009142222368482167,0.5183069719341893,-0.012213624649065445,0.9009080856734984,-0.13528170037317727,0.8148588693699069,0.998449109183447,0.3089303871100885,0.14646642245446845,0.34048007174439227,0.2938898787503859,-0.001976751809072706,0.260096018501167,0.146906667334873,0.5488083216006931,0.24326430863157283,0.24914540963002849,-0.021233924207780624,0.12598735530206376,0.3084906873636109,0.19257337228516294,0.2564713999958778,0.2173947859896632,0.21151227014782895,0.2518867814291723,-0.011478799397876603,-0.0786960442904728,0.8739480761371986,0.20238688293746918,0.6251102149368755,-0.03413526072196181,0.12592458696640504,0.12096062854340099,0.2554442803165037,-0.01753592116472209,-0.006699338319957475,-0.01704310992382921,0.22986182219043866,0.028637490447793467,0.17119942278852315,0.47272865590857577,0.03294400051815918,0.10036383013994317,0.006614151607802234,0.32721808099989547,0.04492110311328901,0.830637348872503,0.1325126210190402
